subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
FpamY,.الرجاء تسمية هذه الصورة,29.45,10332,نجمة,14009,44.486,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_20.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,51.285,6706,مربع,1648,53.958,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,73.125,19106,مزهرية,2113,76.257,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_140.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,83.089,6764,مزهرية,2199,86.306,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_170.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,93.599,7232,ذئب,1957,96.578,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,104.748,8114,ارنب,4975,110.742,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_110.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,150.15,39334,متعدد الاضلاع,2624,153.79,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_230.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,171.768,17915,تاج,2220,175.009,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_260.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,182.407,7341,علامة,2665,186.088,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_200.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,196.216,10073,نصف نجمة,4302,201.538,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_290.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,208.118,6522,شعار,2394,211.531,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_320.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,215.993,4404,ارنب,4128,221.135,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_80.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,226.146,4971,نجمة,1902,229.081,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_350.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,234.944,5800,مثلث,1936,237.898,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,2,trial_lists/trial_list_2
FpamY,.الرجاء تسمية هذه الصورة,258.317,20362,قرص,1295,260.635,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_50.png,2,trial_lists/trial_list_2
